Rowid_,SAMPLE_POINTS,X,Y,CORRECTSEQ,COMBINED_C,COMBINED_PH,COMBINED_CEC,COMBINED_BD,WC2_0_BIO_10M_01,WC2_0_BIO_10M_04,WC2_0_BIO_10M_06,WC2_0_BIO_10M_11,WC2_0_BIO_10M_13,WC2_0_BIO_10M_16
,0,911976.617356321774423,5357005.401414867490530,2.029399871826172,167.813903808593750,58.965643274713045,45.590278477603370,254.999999999999972,7.040217211460702,799.130966890982791,-10.968350899864928,-2.694130846763516,85.337637646178734,240.268649357682847
,1,901817.075322420685552,5363049.768139380961657,1.789342729304980,158.315414945814268,54.045296063348701,43.888858161847892,255.000000000000000,6.328214270769503,782.814812093155183,-10.779200555745005,-3.125323680310325,83.965263107781354,236.661451702972983
,2,918805.202873260248452,5369724.395722463726997,2.029399871826172,166.737508813012823,62.911784118066734,30.678457506714491,255.000000000000000,7.120946130808378,808.225665573441574,-11.248460774627372,-2.795291295213067,90.993851193956800,258.906721559662628
,3,925121.402213100343943,5364111.204923748970032,0.710280895233154,99.616169484744191,62.480929830939743,33.984541338568789,255.000000000000000,7.106220633797749,802.095926032741659,-11.008684543203541,-2.680837710144168,94.153166047768195,268.574089255219121
,4,906940.305527991498820,5361813.352854732424021,2.029399871826172,167.813903808593750,58.638707674866467,40.451616384825499,255.000000000000028,6.546063148166867,787.948962829275843,-10.826986419160949,-3.001255153415449,85.298647315887521,240.266598937106892
,5,923194.379255472449586,5360838.688102670013905,0.830373748049983,99.259460449218736,60.278139710545751,34.636584100167497,255.000000000000000,7.230452937574773,804.829520273696176,-11.070569025387339,-2.603661322282148,91.762996380936016,261.060821422718334
,6,908695.025174436508678,5368565.730543245561421,2.029399871826172,167.813903808593750,57.000000000000000,38.361476974774803,255.000000000000000,6.258048812940736,782.755250302833360,-10.806530289014161,-3.211420444830870,88.396263870150150,250.332797093820915
,7,932480.046029930934310,5362512.377450864762068,0.710280895233154,99.259460449218750,60.000000000000000,48.729440723307548,255.000000000000000,6.864768273474743,790.867192511802614,-10.705517696086446,-2.708902647026355,99.388867188511455,284.747797797070859
,8,915558.044958734186366,5383905.642840879037976,0.710280895233154,99.259460449218736,58.000000000000000,43.401705356750227,255.000000000000000,6.429720073145375,786.482773192139803,-11.026241191231765,-3.110087138128569,94.124048232646899,268.541018237070773
,9,905884.243681500200182,5387936.015243631787598,0.770815678089134,99.259460449218736,55.206737423332953,38.345036771835460,255.000000000000028,5.668241696136939,767.143103404537101,-11.017449253736018,-3.549549975676100,91.886374148937207,262.602255835006133
,10,924346.716520812129602,5376716.765705276280642,0.710280895233154,99.259460449218750,59.999999999999993,36.934377469912505,255.000000000000000,6.706399303521292,793.592966915357124,-10.958264807102005,-2.943671744738732,97.476829004132142,278.836192698398804
,11,912308.209963027620688,5378992.907731320708990,0.837363268688461,99.259460449218750,58.981602387613179,37.273679669630127,254.999999999999972,6.309730146331421,784.104481044951854,-11.004155100218121,-3.190148959536386,91.892255943600105,261.757338923617340
,12,929596.433466628659517,5360806.078160272911191,0.710280895233154,99.259460449218750,60.359089209654229,31.591565176821636,255.000000000000000,7.003845211993827,795.528166449447781,-10.828566180274571,-2.655829713634969,96.593890293306316,276.040651276979759
,13,923706.743268004385754,5360268.666721276007593,0.710280895233154,99.259460449218750,61.000000000000000,34.215979632315062,255.000000000000000,7.220964753041639,804.005823974841633,-11.046654989659038,-2.596867755686133,92.005224170985997,261.792628823654923
,14,906235.196406327770092,5392087.490278897807002,1.460589876921403,108.590439794916335,57.000000000000000,41.394341238491634,255.000000000000000,5.748652810906153,769.710158852718905,-11.003213644227881,-3.516481179116915,92.166303409177232,263.185160057952714
,15,932239.990633311099373,5383586.536395484581590,0.838014931931999,-9999.000000000000000,53.033187855093075,42.213169794878624,255.000000000000000,6.081829445376014,775.542128490218943,-10.659713385857630,-3.244038029981682,105.933474629050451,304.524266090794470
,16,913396.381541126640514,5396477.989465260878205,2.298851966857910,124.070709228515625,57.585062215365561,36.206393465239273,255.000000000000000,6.098823111609881,779.895873023596323,-11.050121915633140,-3.324380807191914,95.532781953986728,273.100579462608891
,17,906889.918136095628142,5399202.564386124722660,2.248010678489604,124.070709228515625,56.000000000000000,38.742440238318082,255.000000000000000,5.863452838008767,773.728608894110266,-10.990751456316918,-3.472949810997568,92.777060749478593,264.697559756170506
,18,911849.424586478970014,5397797.401830212213099,2.298851966857910,124.070709228515625,57.353701500739270,41.951908247470435,255.000000000000000,6.026843966558655,778.256253991576500,-11.043162293507839,-3.371806435278746,95.004747767189571,271.518002160461322
,19,922142.695136915193871,5395975.970566228032112,2.298851966857910,124.070709228515611,58.109337264418627,32.172813132458678,255.000000000000000,6.067654972866181,778.419848123220731,-10.971357000030698,-3.324005513987616,100.974442622232743,289.713951343936401
,20,923351.373604459105991,5406712.600355258211493,2.298851966857910,124.070709228515639,55.233696465809615,34.690086097503766,254.999999999999972,5.675575103867109,770.450076010404246,-11.060117888440992,-3.585674578000194,104.239782561103937,300.253676363789282
,21,925679.138352271169424,5424406.691691856831312,2.163882255554199,124.194145202636719,56.907644227286241,42.031956899051643,255.000000000000028,4.452511952585210,740.709455389267077,-11.170625940937002,-4.341763457541287,113.928218096765676,330.147896034155622
,22,922775.477810470038094,5410698.157638497650623,2.298851966857910,124.096596376778663,49.215961492739254,29.032960994815937,255.000000000000000,5.400344214303557,763.549388986507552,-11.064625052754284,-3.750640788195012,105.985458843308066,305.803449582220935
,23,922338.859033929998986,5420734.539846559986472,2.163882255554199,124.194145202636719,54.920235152345242,31.699073193801080,255.000000000000000,4.675858240043713,745.185149226237741,-11.068953088278601,-4.183387513818276,111.039024501815220,321.763627220405681
,24,929469.971940694027580,5433622.109333869069815,2.163882255554199,124.194145202636719,50.987990101113255,41.350366130152551,255.000000000000028,4.145008332877128,741.297755380850958,-11.412988990419571,-4.659774477587594,117.886771274050048,339.980640349746636
,25,926473.470446774968877,5411019.186622413806617,2.298851966857910,124.132171961279369,49.797977066460859,42.347747493376005,255.000000000000000,5.256974051142793,759.150309636191423,-11.034624021600003,-3.829989183632999,108.596994548001703,313.729247292437094
,26,932852.800947123207152,5429645.116805516183376,-9999.000000000000000,-9999.000000000000000,53.464710215091017,45.179593915885810,255.000000000000000,4.708547807679905,751.148538544123994,-11.290736493871675,-4.256304118451613,115.077950944209363,331.512809986866614
,27,929925.169988922541961,5428358.879233337938786,2.163882255554199,124.194145202636719,56.027972876413180,48.962372974531434,255.000000000000000,4.479915127846279,744.470832398535094,-11.278357674134709,-4.377605176084870,115.546750431872979,333.705312220564679
,28,902451.921487004496157,5423767.446623553521931,1.683638176867263,104.755965247449055,52.560349901586115,40.993151112651141,255.000000000000000,6.142353676678587,785.590954107417815,-10.987840750989928,-3.374905463840379,91.839856526378526,261.858944727488108
,29,910420.522054641740397,5425362.980731764808297,2.130086421966553,107.908538818359375,59.804404042789969,37.902190868638002,255.000000000000000,5.130687201257503,756.999816013091504,-10.929137084035121,-3.916844397235067,103.130701184536250,297.869205969781717
,30,907211.283363451948389,5431347.232154957950115,2.130086421966553,107.908538818359375,55.096389604920311,39.334057496752280,255.000000000000000,5.332107911962881,762.935745770298354,-10.913668629204338,-3.815110343763168,101.466294253573935,293.247683431335531
,31,912665.471001685829833,5441759.527416712604463,2.130086421966553,107.908538818359375,61.912006643269471,44.058177165648452,254.490877976091269,4.945865284216953,756.167944350624225,-10.994483751456634,-4.079119426629337,108.260672944305384,315.691834118661063
,32,911376.109043405391276,5445110.872007848694921,2.130086421966553,107.908538818359361,-9999.000000000000000,-9999.000000000000000,-9999.000000000000000,5.014667155674037,758.487401673724435,-11.021638785488815,-4.051713565493532,108.215642090312741,315.548323422390467
,33,914421.134196141734719,5423978.502925324253738,2.130086421966553,107.908538818359375,57.451454500128534,39.782899663147219,255.000000000000000,4.571176671704952,741.013738799209477,-10.902504458833205,-4.213773162247759,108.670017829227632,315.511601001252302
,34,914717.843174544163048,5441983.924188744276762,2.130086421966553,107.908538818359375,58.433965508271854,41.440061139431222,255.000000000000000,4.894435607516161,756.112369676797243,-11.044751644725340,-4.126071896099306,109.398190271108760,319.016024985152512
