OBJECTID,OR_random_Merge,X,Y,wc2_0_bio_10m_02,wc2_0_bio_10m_03,wc2_0_bio_10m_04,wc2_0_bio_10m_05,wc2_0_bio_10m_06,wc2_0_bio_10m_07,wc2_0_bio_10m_08,wc2_0_bio_10m_09,wc2_0_bio_10m_10,wc2_0_bio_10m_11,wc2_0_bio_10m_12,wc2_0_bio_10m_13,wc2_0_bio_10m_14,wc2_0_bio_10m_15,wc2_0_bio_10m_16,wc2_0_bio_10m_17,wc2_0_bio_10m_18,wc2_0_bio_10m_19,Bare_ground_change_1982_2016__1_,Short_vegetation_change_1982_2016,Tree_canopy_change_1982_2016,gt30w140n90,wc2_0_bio_10m_01
1,1,-118.512211664717540,44.219978544641378,12.126770816743374,39.348039860525915,692.443047352727831,19.183750152587891,-11.635499954223633,30.819250106811523,-2.970333367586136,12.809416850407919,12.809416850407919,-4.099750032027562,502.000000000000000,69.000000000000000,18.000000000000000,35.613404370583261,188.000000000000000,69.000000000000000,69.000000000000000,173.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1640.000000000000000,3.852614605178436
2,2,-118.589177425345497,44.161284044231024,13.415500104427338,39.205973297398167,750.701697326407384,21.762750625610352,-12.455249786376953,34.218000411987305,-2.648916582266490,14.482458750406900,14.482458750406900,-3.970916608969370,408.000000000000000,57.000000000000000,15.000000000000000,35.602422214400917,154.000000000000000,58.000000000000000,58.000000000000000,141.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1585.000000000000000,4.994291802247365
3,3,-118.606471730307135,43.957033685294505,15.495166788498560,39.717957077290187,830.716539584801353,26.307750701904297,-12.705249786376953,39.013000488281250,-1.695166587829590,17.569791793823242,17.569791793823242,-2.921374956766764,313.000000000000000,43.000000000000000,12.000000000000000,35.396410317536464,118.000000000000000,45.000000000000000,45.000000000000000,107.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1280.000000000000000,7.335520898302396
4,4,-118.597461969411711,44.179292421445382,12.126770816743374,39.348039860525915,692.443047352727831,19.183750152587891,-11.635499954223633,30.819250106811523,-2.970333367586136,12.809416850407919,12.809416850407919,-4.099750032027562,502.000000000000000,69.000000000000000,18.000000000000000,35.613404370583261,188.000000000000000,69.000000000000000,69.000000000000000,173.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1536.000000000000000,3.852614605178436
5,5,-118.548210332270628,44.179804148805772,12.126770816743374,39.348039860525915,692.443047352727831,19.183750152587891,-11.635499954223633,30.819250106811523,-2.970333367586136,12.809416850407919,12.809416850407919,-4.099750032027562,502.000000000000000,69.000000000000000,18.000000000000000,35.613404370583261,188.000000000000000,69.000000000000000,69.000000000000000,173.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1646.000000000000000,3.852614605178436
6,6,-118.671850873959158,43.988574492417399,13.593270880480608,40.015517089329876,741.885985420013185,22.382999420166016,-11.586999893188477,33.969999313354492,-1.838375051816304,14.980374813079834,14.980374813079834,-3.229916691780090,369.000000000000000,50.000000000000000,14.000000000000000,34.190410295141689,136.000000000000000,53.000000000000000,53.000000000000000,125.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1253.000000000000000,5.601406225313743
7,7,-118.608878418577831,44.022425121167089,13.415500104427338,39.205973297398167,750.701697326407384,21.762750625610352,-12.455249786376953,34.218000411987305,-2.648916582266490,14.482458750406900,14.482458750406900,-3.970916608969370,408.000000000000000,57.000000000000000,15.000000000000000,35.602422214400917,154.000000000000000,58.000000000000000,58.000000000000000,141.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,1572.000000000000000,4.994291802247365
8,8,-118.709951717932427,44.057849591052900,12.755062349140644,39.519639829801697,717.653703951246371,21.059499740600586,-11.215749740600586,32.275249481201172,-2.152916649977366,14.104708274205526,14.104708274205526,-3.461000025272369,403.000000000000000,55.000000000000000,15.000000000000000,34.577187413693238,150.000000000000000,57.000000000000000,57.000000000000000,138.000000000000000,0.000000000000000,-13.000000000000000,11.000000000000000,1543.000000000000000,4.998093730459611
9,9,-118.785914180237569,44.075481037135603,12.755062349140644,39.519639829801697,717.653703951246371,21.059499740600586,-11.215749740600586,32.275249481201172,-2.152916649977366,14.104708274205526,14.104708274205526,-3.461000025272369,403.000000000000000,55.000000000000000,15.000000000000000,34.577187413693238,150.000000000000000,57.000000000000000,57.000000000000000,138.000000000000000,0.000000000000000,-17.000000000000000,16.000000000000000,1862.000000000000000,4.998093730459611
10,10,-118.700116784150850,43.972538094870458,13.593270880480608,40.015517089329876,741.885985420013185,22.382999420166016,-11.586999893188477,33.969999313354492,-1.838375051816304,14.980374813079834,14.980374813079834,-3.229916691780090,369.000000000000000,50.000000000000000,14.000000000000000,34.190410295141689,136.000000000000000,53.000000000000000,53.000000000000000,125.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1252.000000000000000,5.601406225313743
